Accuracy of xgb 0.763 params {'max_depth': 13, 'learning_rate': '0.220', 'n_estimators': 700, 'min_child_weight': 15, 'gamma': '0.200', 'subsample': '0.500', 'colsample_bytree': '0.400', 'reg_alpha': '2.500', 'objective': 'binary:logitraw', 'scale_pos_weight': '0.200'}
Accuracy of xgb 0.749 params {'max_depth': 6, 'learning_rate': '0.330', 'n_estimators': 1300, 'min_child_weight': 18, 'gamma': '1.900', 'subsample': '0.400', 'colsample_bytree': '0.400', 'reg_alpha': '2.000', 'objective': 'binary:hinge', 'scale_pos_weight': '2.800'}
Accuracy of xgb 0.786 params {'max_depth': 5, 'learning_rate': '0.280', 'n_estimators': 900, 'min_child_weight': 19, 'gamma': '0.600', 'subsample': '0.400', 'colsample_bytree': '0.400', 'reg_alpha': '1.500', 'objective': 'binary:logitraw', 'scale_pos_weight': '4.600'}
Accuracy of xgb 0.785 params {'max_depth': 8, 'learning_rate': '0.300', 'n_estimators': 600, 'min_child_weight': 15, 'gamma': '3.200', 'subsample': '0.300', 'colsample_bytree': '0.600', 'reg_alpha': '4.100', 'objective': 'binary:logitraw', 'scale_pos_weight': '1.300'}
Accuracy of xgb 0.762 params {'max_depth': 4, 'learning_rate': '0.500', 'n_estimators': 900, 'min_child_weight': 16, 'gamma': '1.000', 'subsample': '0.300', 'colsample_bytree': '0.600', 'reg_alpha': '4.000', 'objective': 'binary:logistic', 'scale_pos_weight': '1.800'}
Accuracy of xgb 0.793 params {'max_depth': 14, 'learning_rate': '0.290', 'n_estimators': 1100, 'min_child_weight': 4, 'gamma': '1.600', 'subsample': '0.600', 'colsample_bytree': '0.200', 'reg_alpha': '1.100', 'objective': 'binary:logistic', 'scale_pos_weight': '0.400'}
Accuracy of xgb 0.769 params {'max_depth': 5, 'learning_rate': '0.120', 'n_estimators': 1500, 'min_child_weight': 20, 'gamma': '1.200', 'subsample': '0.300', 'colsample_bytree': '0.600', 'reg_alpha': '0.800', 'objective': 'binary:logistic', 'scale_pos_weight': '5.400'}
Accuracy of xgb 0.812 params {'max_depth': 10, 'learning_rate': '0.070', 'n_estimators': 900, 'min_child_weight': 19, 'gamma': '0.500', 'subsample': '0.500', 'colsample_bytree': '0.600', 'reg_alpha': '1.600', 'objective': 'binary:logitraw', 'scale_pos_weight': '1.900'}
Accuracy of xgb 0.745 params {'max_depth': 8, 'learning_rate': '0.250', 'n_estimators': 800, 'min_child_weight': 7, 'gamma': '4.100', 'subsample': '0.600', 'colsample_bytree': '0.700', 'reg_alpha': '2.400', 'objective': 'binary:logistic', 'scale_pos_weight': '0.200'}
Accuracy of xgb 0.744 params {'max_depth': 2, 'learning_rate': '0.150', 'n_estimators': 400, 'min_child_weight': 11, 'gamma': '2.700', 'subsample': '0.500', 'colsample_bytree': '0.200', 'reg_alpha': '3.300', 'objective': 'binary:logitraw', 'scale_pos_weight': '3.700'}
Accuracy of xgb 0.639 params {'max_depth': 1, 'learning_rate': '0.030', 'n_estimators': 600, 'min_child_weight': 12, 'gamma': '2.300', 'subsample': '0.400', 'colsample_bytree': '0.300', 'reg_alpha': '4.800', 'objective': 'binary:logitraw', 'scale_pos_weight': '3.800'}
Accuracy of xgb 0.732 params {'max_depth': 1, 'learning_rate': '0.160', 'n_estimators': 700, 'min_child_weight': 11, 'gamma': '2.000', 'subsample': '0.500', 'colsample_bytree': '0.200', 'reg_alpha': '0.100', 'objective': 'binary:logitraw', 'scale_pos_weight': '3.600'}
Accuracy of xgb 0.716 params {'max_depth': 11, 'learning_rate': '0.010', 'n_estimators': 600, 'min_child_weight': 13, 'gamma': '4.500', 'subsample': '0.400', 'colsample_bytree': '0.300', 'reg_alpha': '4.900', 'objective': 'binary:logitraw', 'scale_pos_weight': '5.200'}
Accuracy of xgb 0.718 params {'max_depth': 2, 'learning_rate': '0.090', 'n_estimators': 400, 'min_child_weight': 9, 'gamma': '2.800', 'subsample': '0.300', 'colsample_bytree': '0.400', 'reg_alpha': '1.100', 'objective': 'binary:logitraw', 'scale_pos_weight': '4.000'}
Accuracy of xgb 0.742 params {'max_depth': 1, 'learning_rate': '0.190', 'n_estimators': 600, 'min_child_weight': 13, 'gamma': '3.300', 'subsample': '0.500', 'colsample_bytree': '0.800', 'reg_alpha': '2.900', 'objective': 'binary:hinge', 'scale_pos_weight': '3.400'}
Accuracy of xgb 0.498 params {'max_depth': 4, 'learning_rate': '0.010', 'n_estimators': 800, 'min_child_weight': 6, 'gamma': '3.500', 'subsample': '0.400', 'colsample_bytree': '0.200', 'reg_alpha': '2.100', 'objective': 'binary:logistic', 'scale_pos_weight': '6.000'}
Accuracy of xgb 0.787 params {'max_depth': 10, 'learning_rate': '0.110', 'n_estimators': 1100, 'min_child_weight': 5, 'gamma': '4.300', 'subsample': '0.500', 'colsample_bytree': '0.200', 'reg_alpha': '2.200', 'objective': 'binary:logistic', 'scale_pos_weight': '5.600'}
Accuracy of xgb 0.601 params {'max_depth': 4, 'learning_rate': '0.000', 'n_estimators': 1200, 'min_child_weight': 8, 'gamma': '3.500', 'subsample': '0.300', 'colsample_bytree': '0.200', 'reg_alpha': '1.300', 'objective': 'binary:logistic', 'scale_pos_weight': '5.100'}
Accuracy of xgb 0.709 params {'max_depth': 4, 'learning_rate': '0.060', 'n_estimators': 1200, 'min_child_weight': 6, 'gamma': '3.700', 'subsample': '0.300', 'colsample_bytree': '0.200', 'reg_alpha': '1.200', 'objective': 'binary:logistic', 'scale_pos_weight': '5.000'}
Accuracy of xgb 0.601 params {'max_depth': 12, 'learning_rate': '0.000', 'n_estimators': 1500, 'min_child_weight': 4, 'gamma': '3.600', 'subsample': '0.300', 'colsample_bytree': '0.200', 'reg_alpha': '0.200', 'objective': 'binary:logistic', 'scale_pos_weight': '5.900'}
Accuracy of xgb 0.778 params {'max_depth': 12, 'learning_rate': '0.140', 'n_estimators': 1500, 'min_child_weight': 4, 'gamma': '4.900', 'subsample': '0.300', 'colsample_bytree': '0.800', 'reg_alpha': '0.300', 'objective': 'binary:logistic', 'scale_pos_weight': '5.900'}
